"id","Target"
133,"Graduate"
134,"Graduate"
135,"Enrolled"
136,"Graduate"
137,"Graduate"
138,"Dropout"
139,"Graduate"
140,"Graduate"
141,"Graduate"
142,"Dropout"
143,"Graduate"
144,"Graduate"
145,"Enrolled"
146,"Graduate"
147,"Enrolled"
148,"Enrolled"
149,"Enrolled"
150,"Graduate"
151,"Dropout"
152,"Graduate"
153,"Enrolled"
154,"Enrolled"
155,"Graduate"
156,"Dropout"
157,"Enrolled"
158,"Dropout"
159,"Graduate"
160,"Graduate"
161,"Enrolled"
162,"Enrolled"
163,"Dropout"
164,"Graduate"
165,"Dropout"
166,"Dropout"
167,"Graduate"
168,"Graduate"
169,"Graduate"
170,"Enrolled"
171,"Graduate"
172,"Graduate"
173,"Graduate"
174,"Dropout"
175,"Dropout"
176,"Dropout"
177,"Enrolled"
178,"Graduate"
179,"Graduate"
180,"Enrolled"
181,"Dropout"
182,"Dropout"
183,"Graduate"
184,"Enrolled"
185,"Graduate"
186,"Dropout"
187,"Graduate"
188,"Graduate"
189,"Enrolled"
190,"Enrolled"
191,"Dropout"
192,"Dropout"
193,"Graduate"
194,"Enrolled"
195,"Graduate"
196,"Dropout"
197,"Graduate"
198,"Enrolled"
199,"Graduate"
200,"Dropout"
201,"Enrolled"
202,"Dropout"
203,"Dropout"
204,"Enrolled"
205,"Enrolled"
206,"Graduate"
207,"Graduate"
208,"Graduate"
209,"Graduate"
210,"Graduate"
211,"Dropout"
212,"Dropout"
213,"Dropout"
214,"Enrolled"
215,"Dropout"
216,"Graduate"
217,"Graduate"
218,"Dropout"
219,"Enrolled"
220,"Graduate"
221,"Dropout"
222,"Graduate"
223,"Graduate"
224,"Graduate"
225,"Enrolled"
226,"Graduate"
227,"Graduate"
228,"Graduate"
229,"Graduate"
230,"Graduate"
231,"Graduate"
232,"Graduate"
233,"Dropout"
234,"Graduate"
235,"Dropout"
236,"Graduate"
237,"Dropout"
238,"Graduate"
239,"Dropout"
240,"Dropout"
241,"Graduate"
242,"Dropout"
243,"Graduate"
244,"Dropout"
245,"Enrolled"
246,"Graduate"
247,"Enrolled"
248,"Graduate"
249,"Graduate"
250,"Graduate"
251,"Graduate"
252,"Graduate"
253,"Dropout"
254,"Dropout"
255,"Dropout"
256,"Graduate"
257,"Dropout"
258,"Enrolled"
259,"Graduate"
260,"Dropout"
261,"Enrolled"
262,"Graduate"
263,"Dropout"
264,"Dropout"
265,"Graduate"
266,"Dropout"
267,"Graduate"
268,"Enrolled"
269,"Dropout"
270,"Graduate"
271,"Enrolled"
272,"Enrolled"
273,"Graduate"
274,"Graduate"
275,"Dropout"
276,"Graduate"
277,"Graduate"
278,"Dropout"
279,"Enrolled"
280,"Graduate"
281,"Graduate"
282,"Dropout"
283,"Enrolled"
284,"Enrolled"
285,"Graduate"
286,"Enrolled"
287,"Graduate"
288,"Dropout"
289,"Enrolled"
290,"Dropout"
291,"Dropout"
292,"Graduate"
293,"Dropout"
294,"Graduate"
295,"Enrolled"
296,"Graduate"
297,"Graduate"
298,"Graduate"
299,"Dropout"
300,"Graduate"
301,"Graduate"
302,"Dropout"
303,"Graduate"
304,"Dropout"
305,"Graduate"
306,"Dropout"
307,"Dropout"
308,"Graduate"
309,"Dropout"
310,"Graduate"
311,"Enrolled"
312,"Dropout"
313,"Graduate"
314,"Graduate"
315,"Dropout"
316,"Dropout"
317,"Dropout"
318,"Dropout"
319,"Graduate"
320,"Graduate"
321,"Graduate"
322,"Graduate"
323,"Graduate"
324,"Graduate"
325,"Dropout"
326,"Dropout"
327,"Graduate"
328,"Graduate"
329,"Dropout"
330,"Dropout"
331,"Graduate"
332,"Graduate"
333,"Graduate"
334,"Dropout"
335,"Enrolled"
336,"Enrolled"
337,"Dropout"
338,"Graduate"
339,"Dropout"
340,"Graduate"
341,"Graduate"
342,"Dropout"
343,"Dropout"
344,"Graduate"
345,"Graduate"
346,"Enrolled"
347,"Graduate"
348,"Graduate"
349,"Graduate"
350,"Graduate"
351,"Enrolled"
352,"Dropout"
353,"Dropout"
354,"Graduate"
355,"Enrolled"
356,"Dropout"
357,"Enrolled"
358,"Dropout"
359,"Graduate"
360,"Dropout"
361,"Dropout"
362,"Graduate"
363,"Enrolled"
364,"Dropout"
365,"Dropout"
366,"Graduate"
367,"Graduate"
368,"Graduate"
369,"Graduate"
370,"Graduate"
371,"Enrolled"
372,"Dropout"
373,"Graduate"
374,"Graduate"
375,"Dropout"
376,"Graduate"
377,"Graduate"
378,"Graduate"
379,"Dropout"
380,"Graduate"
381,"Dropout"
382,"Enrolled"
383,"Dropout"
384,"Dropout"
385,"Graduate"
386,"Dropout"
387,"Graduate"
388,"Graduate"
389,"Dropout"
390,"Graduate"
391,"Graduate"
392,"Graduate"
393,"Dropout"
394,"Enrolled"
395,"Dropout"
396,"Dropout"
397,"Graduate"
398,"Graduate"
399,"Dropout"
400,"Graduate"
401,"Enrolled"
402,"Dropout"
403,"Enrolled"
404,"Enrolled"
405,"Dropout"
406,"Enrolled"
407,"Dropout"
408,"Enrolled"
409,"Enrolled"
410,"Dropout"
411,"Graduate"
412,"Graduate"
413,"Dropout"
414,"Graduate"
415,"Graduate"
416,"Graduate"
417,"Dropout"
418,"Dropout"
419,"Graduate"
420,"Dropout"
421,"Graduate"
422,"Graduate"
423,"Graduate"
424,"Graduate"
425,"Dropout"
426,"Dropout"
427,"Graduate"
428,"Graduate"
429,"Graduate"
430,"Graduate"
431,"Graduate"
432,"Graduate"
433,"Dropout"
434,"Dropout"
435,"Graduate"
436,"Enrolled"
437,"Dropout"
438,"Graduate"
439,"Graduate"
440,"Dropout"
441,"Graduate"
442,"Graduate"
443,"Dropout"
444,"Dropout"
445,"Graduate"
446,"Graduate"
447,"Dropout"
448,"Dropout"
449,"Graduate"
450,"Graduate"
451,"Enrolled"
452,"Graduate"
453,"Enrolled"
454,"Graduate"
455,"Graduate"
456,"Dropout"
457,"Enrolled"
458,"Enrolled"
459,"Graduate"
460,"Enrolled"
461,"Graduate"
462,"Graduate"
463,"Graduate"
464,"Graduate"
465,"Dropout"
466,"Graduate"
467,"Graduate"
468,"Graduate"
469,"Dropout"
470,"Dropout"
471,"Dropout"
472,"Dropout"
473,"Dropout"
474,"Enrolled"
475,"Dropout"
476,"Graduate"
477,"Graduate"
478,"Dropout"
479,"Graduate"
480,"Graduate"
481,"Graduate"
482,"Graduate"
483,"Dropout"
484,"Graduate"
485,"Dropout"
486,"Dropout"
487,"Dropout"
488,"Dropout"
489,"Dropout"
490,"Enrolled"
491,"Graduate"
492,"Dropout"
493,"Graduate"
494,"Graduate"
495,"Graduate"
496,"Graduate"
497,"Dropout"
498,"Graduate"
499,"Enrolled"
500,"Dropout"
501,"Dropout"
502,"Graduate"
503,"Enrolled"
504,"Graduate"
505,"Dropout"
506,"Dropout"
507,"Graduate"
508,"Dropout"
509,"Graduate"
510,"Graduate"
511,"Dropout"
512,"Graduate"
513,"Enrolled"
514,"Dropout"
515,"Graduate"
516,"Enrolled"
517,"Graduate"
518,"Graduate"
519,"Graduate"
520,"Enrolled"
521,"Dropout"
522,"Dropout"
523,"Dropout"
524,"Graduate"
525,"Dropout"
526,"Graduate"
527,"Dropout"
528,"Graduate"
529,"Graduate"
530,"Enrolled"
531,"Dropout"
532,"Dropout"
533,"Graduate"
534,"Graduate"
535,"Enrolled"
536,"Dropout"
537,"Graduate"
538,"Dropout"
539,"Graduate"
540,"Enrolled"
541,"Enrolled"
542,"Enrolled"
543,"Graduate"
544,"Dropout"
545,"Dropout"
546,"Enrolled"
547,"Dropout"
548,"Dropout"
549,"Graduate"
550,"Dropout"
551,"Dropout"
552,"Graduate"
553,"Enrolled"
554,"Enrolled"
555,"Dropout"
556,"Graduate"
557,"Graduate"
558,"Dropout"
559,"Dropout"
560,"Graduate"
561,"Enrolled"
562,"Graduate"
563,"Enrolled"
564,"Dropout"
565,"Enrolled"
566,"Dropout"
567,"Graduate"
568,"Graduate"
569,"Graduate"
570,"Graduate"
571,"Enrolled"
572,"Graduate"
573,"Graduate"
574,"Enrolled"
575,"Enrolled"
576,"Dropout"
577,"Dropout"
578,"Dropout"
579,"Graduate"
580,"Enrolled"
581,"Graduate"
582,"Graduate"
583,"Graduate"
584,"Enrolled"
585,"Dropout"
586,"Graduate"
587,"Graduate"
588,"Graduate"
589,"Dropout"
590,"Graduate"
591,"Graduate"
592,"Graduate"
593,"Graduate"
594,"Enrolled"
595,"Graduate"
596,"Dropout"
597,"Graduate"
598,"Graduate"
599,"Dropout"
600,"Dropout"
601,"Enrolled"
602,"Dropout"
603,"Dropout"
604,"Graduate"
605,"Graduate"
606,"Enrolled"
607,"Graduate"
608,"Dropout"
609,"Graduate"
610,"Enrolled"
611,"Graduate"
612,"Enrolled"
613,"Graduate"
614,"Dropout"
615,"Enrolled"
616,"Graduate"
617,"Graduate"
618,"Graduate"
619,"Graduate"
620,"Graduate"
621,"Graduate"
622,"Graduate"
623,"Enrolled"
624,"Graduate"
625,"Dropout"
626,"Graduate"
627,"Graduate"
628,"Graduate"
629,"Graduate"
630,"Graduate"
631,"Enrolled"
632,"Dropout"
633,"Graduate"
634,"Graduate"
635,"Enrolled"
636,"Graduate"
637,"Enrolled"
638,"Graduate"
639,"Graduate"
640,"Dropout"
641,"Dropout"
642,"Graduate"
643,"Graduate"
644,"Enrolled"
645,"Dropout"
646,"Graduate"
647,"Enrolled"
648,"Graduate"
649,"Graduate"
650,"Graduate"
651,"Dropout"
652,"Dropout"
653,"Dropout"
654,"Graduate"
655,"Enrolled"
656,"Graduate"
657,"Graduate"
658,"Graduate"
659,"Graduate"
660,"Enrolled"
661,"Graduate"
662,"Dropout"
663,"Graduate"
664,"Enrolled"
665,"Graduate"
666,"Graduate"
667,"Graduate"
668,"Graduate"
669,"Dropout"
670,"Enrolled"
671,"Graduate"
672,"Dropout"
673,"Graduate"
674,"Graduate"
675,"Graduate"
676,"Enrolled"
677,"Dropout"
678,"Graduate"
679,"Dropout"
680,"Enrolled"
681,"Enrolled"
682,"Dropout"
683,"Graduate"
684,"Dropout"
685,"Dropout"
686,"Dropout"
687,"Dropout"
688,"Dropout"
689,"Dropout"
690,"Graduate"
691,"Graduate"
692,"Graduate"
693,"Enrolled"
694,"Dropout"
695,"Graduate"
696,"Dropout"
697,"Dropout"
698,"Enrolled"
699,"Graduate"
700,"Dropout"
701,"Graduate"
702,"Graduate"
703,"Dropout"
704,"Enrolled"
705,"Graduate"
706,"Enrolled"
707,"Graduate"
708,"Graduate"
709,"Dropout"
710,"Dropout"
711,"Enrolled"
712,"Graduate"
713,"Graduate"
714,"Graduate"
715,"Dropout"
716,"Graduate"
717,"Graduate"
718,"Graduate"
719,"Graduate"
720,"Graduate"
721,"Graduate"
722,"Graduate"
723,"Enrolled"
724,"Graduate"
725,"Graduate"
726,"Dropout"
727,"Enrolled"
728,"Graduate"
729,"Dropout"
730,"Graduate"
731,"Graduate"
732,"Dropout"
733,"Graduate"
734,"Dropout"
735,"Graduate"
736,"Dropout"
737,"Dropout"
738,"Dropout"
739,"Graduate"
740,"Enrolled"
741,"Dropout"
742,"Graduate"
743,"Graduate"
744,"Graduate"
745,"Graduate"
746,"Graduate"
747,"Dropout"
748,"Dropout"
749,"Graduate"
750,"Dropout"
751,"Graduate"
752,"Dropout"
753,"Dropout"
754,"Enrolled"
755,"Graduate"
756,"Dropout"
757,"Graduate"
758,"Graduate"
759,"Graduate"
760,"Enrolled"
761,"Enrolled"
762,"Dropout"
763,"Graduate"
764,"Graduate"
765,"Graduate"
766,"Graduate"
767,"Graduate"
768,"Graduate"
769,"Graduate"
770,"Graduate"
771,"Graduate"
772,"Graduate"
773,"Graduate"
774,"Dropout"
775,"Dropout"
776,"Graduate"
777,"Graduate"
778,"Graduate"
779,"Graduate"
780,"Dropout"
781,"Graduate"
782,"Dropout"
783,"Graduate"
784,"Graduate"
785,"Dropout"
786,"Dropout"
787,"Graduate"
788,"Graduate"
789,"Enrolled"
790,"Graduate"
791,"Enrolled"
792,"Dropout"
793,"Graduate"
794,"Graduate"
795,"Graduate"
796,"Graduate"
797,"Enrolled"
798,"Dropout"
799,"Graduate"
800,"Dropout"
801,"Dropout"
802,"Graduate"
803,"Dropout"
804,"Enrolled"
805,"Graduate"
806,"Graduate"
807,"Graduate"
808,"Graduate"
809,"Graduate"
810,"Dropout"
811,"Graduate"
812,"Graduate"
813,"Dropout"
814,"Dropout"
815,"Dropout"
816,"Enrolled"
817,"Dropout"
818,"Dropout"
819,"Graduate"
820,"Graduate"
821,"Enrolled"
822,"Dropout"
823,"Graduate"
824,"Dropout"
825,"Graduate"
826,"Graduate"
827,"Enrolled"
828,"Graduate"
829,"Enrolled"
830,"Enrolled"
831,"Enrolled"
832,"Graduate"
833,"Dropout"
834,"Graduate"
835,"Graduate"
836,"Enrolled"
837,"Enrolled"
838,"Graduate"
839,"Graduate"
840,"Dropout"
841,"Dropout"
842,"Dropout"
843,"Graduate"
844,"Graduate"
845,"Dropout"
846,"Graduate"
847,"Enrolled"
848,"Dropout"
849,"Graduate"
850,"Graduate"
851,"Graduate"
852,"Graduate"
853,"Dropout"
854,"Graduate"
855,"Dropout"
856,"Graduate"
857,"Dropout"
858,"Graduate"
859,"Dropout"
860,"Enrolled"
861,"Dropout"
862,"Enrolled"
863,"Graduate"
864,"Dropout"
865,"Graduate"
866,"Graduate"
867,"Graduate"
868,"Graduate"
869,"Enrolled"
870,"Graduate"
871,"Dropout"
872,"Enrolled"
873,"Graduate"
874,"Graduate"
875,"Graduate"
876,"Graduate"
877,"Enrolled"
878,"Graduate"
879,"Enrolled"
880,"Graduate"
881,"Graduate"
882,"Enrolled"
883,"Graduate"
884,"Graduate"
885,"Graduate"
886,"Dropout"
887,"Enrolled"
888,"Graduate"
889,"Graduate"
890,"Enrolled"
891,"Dropout"
892,"Dropout"
893,"Dropout"
894,"Dropout"
895,"Enrolled"
896,"Enrolled"
897,"Dropout"
898,"Enrolled"
899,"Dropout"
900,"Graduate"
901,"Graduate"
902,"Dropout"
903,"Graduate"
904,"Graduate"
905,"Graduate"
906,"Graduate"
907,"Enrolled"
908,"Enrolled"
909,"Dropout"
910,"Dropout"
911,"Graduate"
912,"Graduate"
913,"Dropout"
914,"Enrolled"
915,"Graduate"
916,"Graduate"
917,"Dropout"
918,"Enrolled"
919,"Graduate"
920,"Graduate"
921,"Enrolled"
922,"Graduate"
923,"Dropout"
924,"Dropout"
925,"Graduate"
926,"Graduate"
927,"Dropout"
928,"Graduate"
929,"Graduate"
930,"Enrolled"
931,"Dropout"
932,"Graduate"
933,"Dropout"
934,"Graduate"
935,"Graduate"
936,"Graduate"
937,"Graduate"
938,"Dropout"
939,"Graduate"
940,"Graduate"
941,"Graduate"
942,"Graduate"
943,"Enrolled"
944,"Graduate"
945,"Graduate"
946,"Dropout"
947,"Enrolled"
948,"Graduate"
949,"Enrolled"
950,"Dropout"
951,"Dropout"
952,"Enrolled"
953,"Dropout"
954,"Enrolled"
955,"Dropout"
956,"Dropout"
957,"Enrolled"
958,"Dropout"
959,"Graduate"
960,"Graduate"
961,"Dropout"
962,"Enrolled"
963,"Graduate"
964,"Dropout"
965,"Enrolled"
966,"Dropout"
967,"Graduate"
968,"Graduate"
969,"Graduate"
970,"Dropout"
971,"Enrolled"
972,"Graduate"
973,"Dropout"
974,"Dropout"
975,"Graduate"
976,"Graduate"
977,"Graduate"
978,"Enrolled"
979,"Dropout"
980,"Graduate"
981,"Dropout"
982,"Enrolled"
983,"Enrolled"
984,"Graduate"
985,"Graduate"
986,"Enrolled"
987,"Graduate"
988,"Graduate"
989,"Graduate"
990,"Dropout"
991,"Enrolled"
992,"Enrolled"
993,"Dropout"
994,"Graduate"
995,"Dropout"
996,"Graduate"
997,"Enrolled"
998,"Enrolled"
999,"Graduate"
1000,"Graduate"
1001,"Dropout"
1002,"Dropout"
1003,"Dropout"
1004,"Dropout"
1005,"Dropout"
1006,"Graduate"
1007,"Graduate"
1008,"Dropout"
1009,"Dropout"
1010,"Dropout"
1011,"Dropout"
1012,"Enrolled"
1013,"Dropout"
1014,"Enrolled"
1015,"Enrolled"
1016,"Graduate"
1017,"Dropout"
1018,"Graduate"
1019,"Graduate"
1020,"Graduate"
1021,"Graduate"
1022,"Graduate"
1023,"Graduate"
1024,"Graduate"
1025,"Dropout"
1026,"Graduate"
1027,"Graduate"
1028,"Graduate"
1029,"Graduate"
1030,"Graduate"
1031,"Graduate"
1032,"Enrolled"
1033,"Graduate"
1034,"Dropout"
1035,"Graduate"
1036,"Enrolled"
1037,"Dropout"
1038,"Graduate"
1039,"Dropout"
1040,"Dropout"
1041,"Graduate"
1042,"Enrolled"
1043,"Graduate"
1044,"Graduate"
1045,"Graduate"
1046,"Dropout"
1047,"Graduate"
1048,"Dropout"
1049,"Dropout"
1050,"Enrolled"
1051,"Graduate"
1052,"Graduate"
1053,"Graduate"
1054,"Graduate"
1055,"Enrolled"
1056,"Dropout"
1057,"Dropout"
1058,"Dropout"
1059,"Graduate"
1060,"Graduate"
1061,"Dropout"
1062,"Graduate"
1063,"Dropout"
1064,"Graduate"
1065,"Enrolled"
1066,"Graduate"
1067,"Dropout"
1068,"Dropout"
1069,"Dropout"
1070,"Graduate"
1071,"Graduate"
1072,"Dropout"
1073,"Enrolled"
1074,"Graduate"
1075,"Dropout"
1076,"Graduate"
1077,"Graduate"
1078,"Graduate"
1079,"Graduate"
1080,"Dropout"
1081,"Graduate"
1082,"Enrolled"
1083,"Graduate"
1084,"Enrolled"
1085,"Dropout"
1086,"Graduate"
1087,"Graduate"
1088,"Graduate"
1089,"Graduate"
1090,"Dropout"
1091,"Dropout"
1092,"Graduate"
1093,"Graduate"
1094,"Dropout"
1095,"Enrolled"
1096,"Dropout"
1097,"Dropout"
1098,"Graduate"
1099,"Dropout"
1100,"Graduate"
1101,"Graduate"
1102,"Enrolled"
1103,"Dropout"
1104,"Dropout"
1105,"Enrolled"
1106,"Graduate"
1107,"Dropout"
1108,"Dropout"
1109,"Dropout"
1110,"Dropout"
1111,"Graduate"
1112,"Graduate"
1113,"Graduate"
1114,"Graduate"
1115,"Enrolled"
1116,"Dropout"
1117,"Graduate"
1118,"Graduate"
1119,"Graduate"
1120,"Graduate"
1121,"Dropout"
1122,"Graduate"
1123,"Graduate"
1124,"Graduate"
1125,"Graduate"
1126,"Graduate"
1127,"Enrolled"
1128,"Graduate"
1129,"Dropout"
1130,"Dropout"
1131,"Graduate"
1132,"Graduate"
1133,"Dropout"
1134,"Dropout"
1135,"Enrolled"
1136,"Dropout"
1137,"Graduate"
1138,"Dropout"
1139,"Enrolled"
1140,"Graduate"
1141,"Enrolled"
1142,"Graduate"
1143,"Enrolled"
1144,"Dropout"
1145,"Graduate"
1146,"Graduate"
1147,"Enrolled"
1148,"Enrolled"
1149,"Dropout"
1150,"Dropout"
1151,"Dropout"
1152,"Dropout"
1153,"Enrolled"
1154,"Graduate"
1155,"Dropout"
1156,"Dropout"
1157,"Graduate"
1158,"Dropout"
1159,"Enrolled"
1160,"Enrolled"
1161,"Graduate"
1162,"Enrolled"
1163,"Graduate"
1164,"Enrolled"
1165,"Graduate"
1166,"Graduate"
1167,"Graduate"
1168,"Graduate"
1169,"Dropout"
1170,"Dropout"
1171,"Enrolled"
1172,"Enrolled"
1173,"Dropout"
1174,"Dropout"
1175,"Dropout"
1176,"Graduate"
1177,"Graduate"
1178,"Dropout"
1179,"Graduate"
1180,"Graduate"
1181,"Dropout"
1182,"Dropout"
1183,"Graduate"
1184,"Graduate"
1185,"Dropout"
1186,"Graduate"
1187,"Graduate"
1188,"Graduate"
1189,"Graduate"
1190,"Graduate"
1191,"Enrolled"
1192,"Enrolled"
1193,"Graduate"
1194,"Graduate"
1195,"Dropout"
1196,"Dropout"
1197,"Graduate"
1198,"Graduate"
1199,"Graduate"
1200,"Enrolled"
1201,"Graduate"
1202,"Graduate"
1203,"Graduate"
1204,"Dropout"
1205,"Graduate"
1206,"Dropout"
1207,"Graduate"
1208,"Graduate"
1209,"Graduate"
1210,"Dropout"
1211,"Enrolled"
1212,"Graduate"
1213,"Graduate"
1214,"Enrolled"
1215,"Graduate"
1216,"Graduate"
1217,"Graduate"
1218,"Graduate"
1219,"Graduate"
1220,"Graduate"
1221,"Dropout"
1222,"Graduate"
1223,"Dropout"
1224,"Enrolled"
1225,"Graduate"
1226,"Dropout"
1227,"Dropout"
1228,"Graduate"
1229,"Dropout"
1230,"Graduate"
1231,"Dropout"
1232,"Graduate"
1233,"Dropout"
1234,"Dropout"
1235,"Dropout"
1236,"Graduate"
1237,"Dropout"
1238,"Graduate"
1239,"Dropout"
1240,"Enrolled"
1241,"Graduate"
1242,"Graduate"
1243,"Enrolled"
1244,"Dropout"
1245,"Graduate"
1246,"Graduate"
1247,"Graduate"
1248,"Dropout"
1249,"Graduate"
1250,"Dropout"
1251,"Dropout"
1252,"Graduate"
1253,"Graduate"
1254,"Dropout"
1255,"Graduate"
1256,"Dropout"
1257,"Dropout"
1258,"Dropout"
1259,"Enrolled"
1260,"Dropout"
1261,"Graduate"
1262,"Graduate"
1263,"Graduate"
1264,"Enrolled"
1265,"Graduate"
1266,"Graduate"
1267,"Graduate"
1268,"Dropout"
1269,"Graduate"
1270,"Dropout"
1271,"Graduate"
1272,"Enrolled"
1273,"Dropout"
1274,"Graduate"
1275,"Graduate"
1276,"Dropout"
1277,"Graduate"
1278,"Dropout"
1279,"Graduate"
1280,"Dropout"
1281,"Graduate"
1282,"Dropout"
1283,"Enrolled"
1284,"Dropout"
1285,"Dropout"
1286,"Graduate"
1287,"Graduate"
1288,"Graduate"
1289,"Dropout"
1290,"Graduate"
1291,"Graduate"
1292,"Dropout"
1293,"Graduate"
1294,"Graduate"
1295,"Graduate"
1296,"Dropout"
1297,"Graduate"
1298,"Dropout"
1299,"Dropout"
1300,"Graduate"
1301,"Graduate"
1302,"Dropout"
1303,"Graduate"
1304,"Graduate"
1305,"Graduate"
1306,"Dropout"
1307,"Dropout"
1308,"Enrolled"
1309,"Graduate"
1310,"Enrolled"
1311,"Enrolled"
1312,"Dropout"
1313,"Graduate"
1314,"Enrolled"
1315,"Graduate"
1316,"Dropout"
1317,"Graduate"
1318,"Dropout"
1319,"Dropout"
1320,"Graduate"
1321,"Dropout"
1322,"Graduate"
1323,"Graduate"
1324,"Enrolled"
1325,"Dropout"
1326,"Graduate"
1327,"Dropout"
1328,"Dropout"
1329,"Graduate"
1330,"Graduate"
1331,"Dropout"
1332,"Graduate"
1333,"Enrolled"
1334,"Graduate"
1335,"Dropout"
1336,"Dropout"
1337,"Graduate"
1338,"Graduate"
1339,"Graduate"
1340,"Graduate"
1341,"Graduate"
1342,"Enrolled"
1343,"Graduate"
1344,"Graduate"
1345,"Enrolled"
1346,"Dropout"
1347,"Graduate"
1348,"Graduate"
1349,"Enrolled"
1350,"Graduate"
1351,"Graduate"
1352,"Graduate"
1353,"Graduate"
1354,"Dropout"
1355,"Dropout"
1356,"Dropout"
1357,"Dropout"
1358,"Graduate"
1359,"Graduate"
1360,"Dropout"
1361,"Dropout"
1362,"Dropout"
1363,"Graduate"
1364,"Dropout"
1365,"Graduate"
1366,"Graduate"
1367,"Dropout"
1368,"Graduate"
1369,"Dropout"
1370,"Dropout"
1371,"Enrolled"
1372,"Dropout"
1373,"Graduate"
1374,"Dropout"
1375,"Graduate"
1376,"Graduate"
1377,"Dropout"
1378,"Dropout"
1379,"Dropout"
1380,"Dropout"
1381,"Dropout"
1382,"Graduate"
1383,"Enrolled"
1384,"Graduate"
1385,"Graduate"
1386,"Enrolled"
1387,"Dropout"
1388,"Enrolled"
1389,"Graduate"
1390,"Graduate"
1391,"Graduate"
1392,"Graduate"
1393,"Enrolled"
1394,"Enrolled"
1395,"Dropout"
1396,"Dropout"
1397,"Graduate"
1398,"Graduate"
1399,"Dropout"
1400,"Graduate"
1401,"Graduate"
1402,"Dropout"
1403,"Graduate"
1404,"Graduate"
1405,"Graduate"
1406,"Graduate"
1407,"Enrolled"
1408,"Graduate"
1409,"Dropout"
1410,"Graduate"
1411,"Dropout"
1412,"Dropout"
1413,"Enrolled"
1414,"Graduate"
1415,"Graduate"
1416,"Enrolled"
1417,"Graduate"
1418,"Enrolled"
1419,"Dropout"
1420,"Graduate"
1421,"Dropout"
1422,"Dropout"
1423,"Enrolled"
1424,"Dropout"
1425,"Graduate"
1426,"Enrolled"
1427,"Dropout"
1428,"Graduate"
1429,"Graduate"
1430,"Dropout"
1431,"Graduate"
1432,"Graduate"
1433,"Dropout"
1434,"Dropout"
1435,"Graduate"
1436,"Graduate"
1437,"Dropout"
1438,"Dropout"
1439,"Dropout"
1440,"Graduate"
1441,"Graduate"
1442,"Graduate"
1443,"Dropout"
1444,"Enrolled"
1445,"Graduate"
1446,"Graduate"
1447,"Enrolled"
1448,"Dropout"
1449,"Dropout"
1450,"Dropout"
1451,"Enrolled"
1452,"Graduate"
1453,"Graduate"
1454,"Enrolled"
1455,"Dropout"
1456,"Dropout"
1457,"Dropout"
1458,"Graduate"
1459,"Graduate"
1460,"Dropout"
1461,"Graduate"
1462,"Dropout"
1463,"Graduate"
1464,"Dropout"
1465,"Graduate"
1466,"Graduate"
1467,"Graduate"
1468,"Dropout"
1469,"Graduate"
1470,"Dropout"
1471,"Graduate"
1472,"Graduate"
1473,"Graduate"
